Розыгрыш;Дата проведения;Лототрон;Набор;Шар номер 1;Шар номер 2;Шар номер 3;Шар номер 4;Шар номер 5;Шар номер 6;победителей угадавших 3 номера;приз за 3 номеров;победителей угадавших 4 номера;приз за 4 номеров;победителей угадавших 5 номеров;приз за 5 номеров;победителей угадавших 6 номеров;приз за 6 номеров;
444;2005-07-09;А;3;49;36;32;35;23;33;11461;5;559;110;11;3502;0;3250000;
443;2005-07-06;Б;2;34;39;15;31;10;1;16146;5;890;62;23;1506;0;3000000;
442;2005-07-02;Б;3;1;12;44;38;8;24;12802;5;660;76;12;2633;0;2750000;
441;2005-06-29;Б;2;13;49;9;38;48;3;10641;5;518;86;11;2544;0;2500000;
440;2005-06-25;Б;2;23;19;27;28;37;41;14963;5;840;58;20;1534;0;2250000;
439;2005-06-22;Б;4;21;38;6;46;23;42;11528;5;662;74;10;3086;0;2000000;
438;2005-06-18;Б;1;45;23;21;5;1;16;13380;5;709;66;9;3271;0;1750000;
437;2005-06-15;А;1;21;13;42;14;2;45;13661;5;700;65;10;2855;0;1500000;
436;2005-06-11;Б;3;20;39;22;43;3;44;13635;5;811;54;10;2769;0;1250000;
435;2005-06-08;Б;1;43;16;2;32;46;33;12499;5;690;66;14;2041;0;1000000;
434;2005-06-04;А;3;23;14;31;45;47;20;13933;5;704;86;8;4736;1;3500000;
433;2005-06-01;Б;2;23;48;6;18;8;4;12539;5;697;76;7;4785;0;3250000;
432;2005-05-28;Б;2;31;23;6;10;4;17;14315;5;769;70;17;2006;0;3000000;
431;2005-05-25;Б;4;37;31;43;46;45;38;10669;5;495;113;11;3193;0;2750000;
430;2005-05-21;А;3;42;23;3;29;47;46;10460;5;494;111;7;4930;0;2500000;
429;2005-05-18;А;4;46;42;35;40;44;34;9034;5;437;127;7;4983;0;2250000;
428;2005-05-14;А;1;10;27;48;24;37;14;13727;5;843;62;17;1945;0;2000000;
427;2005-05-11;Б;4;32;15;22;12;34;38;12297;5;635;72;10;2884;0;1750000;
426;2005-05-07;Б;4;38;6;36;40;13;7;12652;5;638;81;11;2945;0;1500000;
425;2005-05-04;Б;3;42;10;36;7;20;45;10944;5;624;67;5;5281;0;1250000;
424;2005-04-30;А;2;1;28;7;32;25;33;15933;5;843;59;10;3137;0;1000000;
423;2005-04-27;А;1;1;5;10;7;19;14;20116;5;1292;37;41;734;2;1250000;
422;2005-04-23;Б;4;20;22;37;49;36;7;15685;5;796;77;11;3514;0;1000000;
421;2005-04-20;А;1;44;31;40;20;22;10;36367;5;2763;37;118;551;1;6650000;
420;2005-04-16;А;4;40;35;9;14;2;32;32374;5;1958;49;46;1310;0;6300000;
419;2005-04-13;Б;4;36;5;28;37;22;13;28045;5;1597;63;36;1760;0;6000000;
418;2005-04-09;Б;3;36;37;19;45;42;6;22708;5;1214;78;11;5389;0;5650000;
417;2005-04-06;Б;4;11;19;5;21;4;3;30454;5;1872;43;46;1107;0;5300000;
416;2005-04-02;Б;3;3;37;8;2;43;44;22811;5;1087;83;16;3557;0;5000000;
415;2005-03-30;А;2;27;24;1;25;41;19;19417;5;867;93;8;6301;0;4650000;
414;2005-03-26;А;4;30;44;4;25;43;1;23971;5;1250;62;22;2207;0;4300000;
413;2005-03-23;А;4;31;38;26;2;27;29;20419;5;901;88;10;5004;0;4000000;
412;2005-03-19;А;1;31;37;14;3;35;49;21557;5;1157;63;17;2690;0;3750000;
411;2005-03-16;А;2;12;23;29;38;8;1;16474;5;805;90;13;3502;0;3500000;
410;2005-03-12;Б;4;47;33;12;41;14;32;16503;5;829;84;13;3386;0;3250000;
409;2005-03-09;А;1;45;2;1;39;23;17;15259;5;796;65;13;2501;0;3000000;
408;2005-03-05;Б;4;21;33;6;29;26;41;15441;5;771;83;11;3641;0;2750000;
407;2005-03-02;Б;3;6;5;36;48;28;46;11745;5;603;95;14;2576;0;2500000;
406;2005-02-26;А;4;40;21;13;20;47;30;15801;5;918;61;19;1842;0;2250000;
405;2005-02-23;А;2;32;33;17;49;34;47;12044;5;544;109;11;3392;0;2000000;
404;2005-02-19;Б;2;7;18;44;22;33;11;17896;5;1316;39;49;664;0;1750000;
403;2005-02-16;А;2;39;33;17;27;18;9;17516;5;1164;40;20;1487;0;1500000;
402;2005-02-12;Б;3;24;46;25;1;19;11;12556;5;628;84;10;3297;0;1250000;
401;2005-02-09;Б;4;35;31;40;9;14;49;12123;5;624;75;11;2694;0;1000000;
400;2005-02-05;А;2;14;28;34;4;7;49;15897;5;885;57;16;1992;1;2000000;
399;2005-02-02;А;4;42;8;41;4;34;44;13105;5;901;56;25;1283;0;1750000;
398;2005-01-29;А;4;46;19;42;5;2;49;12608;5;613;84;13;2487;0;1500000;
397;2005-01-26;Б;1;22;38;1;14;36;17;13342;5;735;68;21;1490;0;1250000;
396;2005-01-22;А;1;17;45;25;43;39;9;17426;5;1206;42;35;924;0;1000000;
395;2005-01-19;Б;4;8;41;18;7;27;33;25969;5;1547;50;19;2574;1;5800000;
394;2005-01-15;А;2;42;23;4;49;8;44;16138;5;750;103;16;3029;0;5650000;
393;2005-01-12;Б;3;22;21;44;45;11;8;22261;5;1240;59;21;2182;0;5500000;
392;2005-01-08;Б;4;49;45;39;35;17;38;11451;5;559;103;10;3613;0;5300000;
391;2005-01-05;Б;1;2;22;9;39;13;34;18678;5;1050;54;25;1423;0;5200000;
390;2005-01-01;А;3;6;9;12;4;44;21;17149;5;968;57;13;2684;0;5000000;
389;2004-12-29;Б;3;43;38;40;29;48;9;13402;5;678;84;12;2996;0;3000000;
388;2004-12-25;Б;2;29;34;23;49;31;14;10846;5;613;81;11;2847;0;2000000;
387;2004-12-22;Б;3;46;5;37;29;7;47;10635;5;541;83;8;3511;0;1000000;
386;2004-12-18;А;1;42;36;29;22;17;47;9034;5;430;116;8;3900;1;1000000;
385;2004-12-15;Б;3;36;17;2;6;14;39;15906;5;866;59;15;2131;1;2750000;
384;2004-12-11;Б;3;19;42;33;16;1;4;13866;5;753;68;16;2020;0;2000000;
383;2004-12-08;Б;4;18;30;16;46;39;24;9391;5;390;134;10;3274;0;1500000;
382;2004-12-04;Б;1;20;48;1;31;34;7;14316;5;764;68;18;1807;0;1000000;
381;2004-12-01;Б;1;42;43;19;18;26;7;34164;5;1925;55;46;1448;1;8100000;
380;2004-11-27;А;2;48;42;9;39;21;46;32092;5;1581;80;23;3442;0;8000000;
379;2004-11-24;Б;1;45;6;12;17;8;47;25523;5;1170;106;13;5989;0;7750000;
378;2004-11-20;А;3;35;12;24;6;29;37;36313;5;1960;72;36;2463;0;7500000;
377;2004-11-17;Б;3;27;45;5;41;10;33;44656;5;2285;65;34;2768;0;7250000;
376;2004-11-13;А;2;18;3;23;31;20;2;47009;5;2699;57;52;1850;0;7000000;
375;2004-11-10;А;3;11;22;21;1;19;5;42753;5;2576;50;45;1821;0;6750000;
374;2004-11-06;Б;3;28;10;23;30;22;13;31004;5;1520;83;24;3319;0;6500000;
373;2004-11-03;А;2;13;38;29;5;31;48;29576;5;1515;84;25;3205;0;6300000;
372;2004-10-30;А;2;48;17;30;11;25;47;29253;5;1489;99;22;4201;0;6150000;
371;2004-10-27;Б;1;35;49;30;9;4;41;31946;5;1634;93;32;2972;0;6000000;
370;2004-10-23;Б;3;20;3;24;16;47;32;31853;5;1827;73;32;2626;0;5750000;
369;2004-10-20;Б;3;23;41;11;22;39;42;35710;5;1734;82;42;2121;0;5500000;
368;2004-10-16;А;4;25;37;7;5;47;49;34894;5;2016;63;31;2583;0;5000000;
367;2004-10-13;Б;4;35;8;20;39;9;3;28914;5;1520;65;34;1824;0;4500000;
366;2004-10-09;А;1;15;1;14;3;40;30;27791;5;1659;53;34;1622;0;4250000;
365;2004-10-06;Б;1;47;24;49;40;19;43;17929;5;875;106;17;3431;0;4000000;
364;2004-10-02;А;3;32;41;2;47;29;40;14636;5;738;91;13;3238;0;3800000;
363;2004-09-29;А;2;45;40;44;47;4;36;13322;5;522;119;4;9737;0;3650000;
362;2004-09-25;А;3;43;39;16;41;25;38;16248;5;943;62;15;2457;0;3500000;
361;2004-09-22;А;3;13;3;17;11;30;40;16332;5;902;57;28;1162;0;3400000;
360;2004-09-18;Б;1;43;49;11;40;39;20;11806;5;531;97;6;5406;0;3300000;
359;2004-09-15;А;3;1;28;48;15;32;47;10181;5;524;94;12;2574;0;3150000;
358;2004-09-11;Б;3;27;15;49;46;7;44;13989;5;751;70;9;3680;0;3000000;
357;2004-09-08;Б;3;25;24;42;13;36;1;9829;5;480;101;7;4371;0;2900000;
356;2004-09-04;Б;2;27;30;1;19;40;37;12923;5;762;55;11;2381;0;2750000;
355;2004-09-01;А;2;7;31;39;19;4;48;11785;5;731;53;22;1117;0;2600000;
354;2004-08-28;А;4;45;35;13;15;24;33;11323;5;698;57;19;1326;0;2500000;
353;2004-08-25;Б;4;36;13;41;31;1;43;7419;5;390;85;6;3486;0;2400000;
352;2004-08-21;А;4;4;45;36;8;11;35;11643;5;713;52;19;1226;0;2300000;
351;2004-08-18;А;2;10;30;41;1;12;44;9289;5;591;63;18;1299;0;2150000;
350;2004-08-14;А;4;41;15;46;48;35;9;6756;5;353;114;7;3606;0;2000000;
349;2004-08-11;Б;4;15;18;7;14;26;47;9636;5;510;68;11;1980;0;1900000;
348;2004-08-07;А;2;40;38;43;31;2;37;8165;5;333;110;7;3298;0;1800000;
347;2004-08-04;Б;2;25;12;13;16;6;43;9518;5;496;66;9;2280;0;1650000;
346;2004-07-31;Б;2;5;14;21;38;23;19;11041;5;674;45;12;1611;0;1500000;
345;2004-07-28;А;4;10;46;5;37;3;30;8617;5;454;69;5;3944;0;1250000;
344;2004-07-24;А;1;23;26;24;29;11;38;8503;5;435;72;9;2192;0;1000000;
343;2004-07-21;Б;2;4;24;30;34;29;33;6656;5;285;112;5;4021;0;750000;
342;2004-07-17;Б;4;24;1;15;28;30;7;10304;5;633;54;17;1260;1;1500000;
341;2004-07-14;А;1;6;49;10;47;46;14;5908;5;254;139;5;4435;0;1250000;
340;2004-07-10;А;2;1;37;18;10;3;9;9953;5;600;51;21;919;0;1000000;
339;2004-07-07;Б;4;39;31;41;16;1;21;9786;5;700;48;22;968;0;750000;
338;2004-07-03;А;1;44;14;41;33;29;3;16100;5;948;56;32;1039;1;3650000;
337;2004-06-30;А;4;9;30;44;20;6;18;13270;5;820;56;15;1915;0;3500000;
336;2004-06-26;А;3;43;10;46;36;33;35;9951;5;543;90;0;0;0;3350000;
335;2004-06-23;А;3;43;45;47;13;42;30;8740;5;429;109;10;2936;0;3200000;
334;2004-06-19;А;4;44;41;40;27;36;10;10658;5;567;79;9;3119;0;3100000;
333;2004-06-16;Б;1;37;30;22;41;15;7;14724;5;860;54;21;1393;0;3000000;
332;2004-06-12;А;1;24;38;9;45;21;44;12119;5;666;65;9;3041;0;2900000;
331;2004-06-09;Б;3;15;10;49;36;2;20;9873;5;518;84;10;2728;0;2800000;
330;2004-06-05;А;2;2;13;47;32;48;4;9502;5;422;105;5;5573;0;2700000;
329;2004-06-02;А;4;10;46;41;48;31;15;7155;5;350;115;6;4220;0;2600000;
328;2004-05-29;Б;2;23;19;30;38;6;3;11046;5;574;70;6;4216;0;2500000;
327;2004-05-26;Б;4;41;26;20;4;36;34;10099;5;554;75;8;3276;0;2400000;
326;2004-05-22;Б;2;22;1;12;9;32;30;15078;5;1022;41;21;1263;0;2300000;
325;2004-05-19;А;4;25;20;39;19;29;42;10782;5;599;69;11;2372;0;2150000;
324;2004-05-15;Б;4;33;19;24;4;3;42;16758;5;1104;37;20;1284;0;2000000;
323;2004-05-12;Б;3;43;20;47;31;45;34;8687;5;510;68;21;1044;0;1900000;
322;2004-05-08;Б;1;49;45;26;35;39;10;8499;5;398;99;5;4960;0;1800000;
321;2004-05-05;Б;4;38;37;1;8;36;31;6877;5;319;109;6;3625;0;1700000;
320;2004-05-01;Б;2;45;36;8;44;39;3;8120;5;428;80;12;1804;0;1650000;
319;2004-04-28;Б;1;10;21;46;37;7;43;10380;5;646;56;16;1419;0;1500000;
318;2004-04-24;А;2;22;25;7;40;45;3;12135;5;702;49;14;1546;0;1250000;
317;2004-04-21;Б;2;5;25;37;20;23;6;9704;5;454;78;3;7386;0;1000000;
316;2004-04-17;А;3;17;34;35;41;45;49;7347;5;285;130;7;3311;0;750000;
315;2004-04-14;Б;4;46;39;42;20;19;15;10363;5;518;92;5;5993;1;3000000;
314;2004-04-10;А;1;6;8;46;41;31;7;10475;5;461;110;7;4565;0;2800000;
313;2004-04-07;Б;4;44;43;33;15;4;42;11075;5;587;81;9;3333;0;2650000;
312;2004-04-03;Б;2;34;44;19;14;22;17;16044;5;1115;34;18;1345;0;2500000;
311;2004-03-31;Б;2;44;49;25;1;27;15;10544;5;583;71;11;2378;0;2300000;
310;2004-03-27;Б;2;37;25;11;38;48;43;9303;5;419;107;8;3502;0;2150000;
309;2004-03-24;А;2;3;7;39;49;6;16;11099;5;520;86;4;7066;0;2000000;
308;2004-03-20;А;4;26;27;28;18;2;8;14391;5;899;46;22;1191;0;1800000;
307;2004-03-17;А;3;6;43;18;30;34;14;10529;5;567;74;4;6556;0;1650000;
306;2004-03-13;Б;2;14;13;26;22;44;35;15596;5;1016;37;17;1401;0;1500000;
305;2004-03-10;А;2;26;33;10;39;23;37;10307;5;551;65;13;1724;0;1250000;
304;2004-03-06;А;1;20;38;19;37;48;32;8836;5;410;108;9;3079;0;1000000;
303;2004-03-03;Б;4;7;5;32;23;31;42;11554;5;620;62;16;1502;0;750000;
302;2004-02-28;Б;2;17;37;45;34;39;46;14771;5;642;99;5;7988;1;3750000;
301;2004-02-25;Б;2;16;37;38;11;18;10;14195;5;571;105;12;3137;0;3500000;
300;2004-02-21;Б;2;7;12;1;34;40;21;18342;5;1062;53;16;2202;0;3300000;
299;2004-02-18;Б;2;32;42;30;25;9;11;13916;5;669;83;15;2327;0;3150000;
298;2004-02-14;А;3;21;32;28;27;17;36;16070;5;837;65;13;2654;0;3000000;
297;2004-02-11;А;3;31;43;14;18;19;7;17043;5;1008;49;21;1488;0;2800000;
296;2004-02-07;Б;3;11;1;21;40;17;25;15151;5;806;58;16;1849;0;2650000;
295;2004-02-04;Б;1;23;32;1;12;42;45;10164;5;485;100;7;4369;0;2500000;
294;2004-01-31;А;1;29;42;32;45;3;34;10089;5;608;71;11;2481;0;2000000;
293;2004-01-28;А;1;38;19;44;23;29;49;8965;5;418;96;9;2789;0;1500000;
292;2004-01-24;А;1;22;15;41;43;18;3;9746;5;510;75;8;2999;0;1000000;
291;2004-01-21;Б;2;39;29;22;15;2;3;13728;5;761;52;17;1458;0;750000;
290;2004-01-17;Б;2;27;26;1;7;14;17;25789;5;1667;38;34;1193;1;3535000;
289;2004-01-14;А;1;2;29;15;11;25;24;19766;5;1177;55;20;2028;0;3350000;
288;2004-01-10;Б;3;11;6;27;34;7;13;16993;5;1273;39;23;1377;0;3175000;
287;2004-01-07;А;4;10;12;20;41;14;23;13592;5;740;63;9;3245;0;3000000;
286;2004-01-03;Б;2;22;35;14;32;16;1;11340;5;648;61;8;3097;0;2900000;
285;2003-12-31;Б;3;49;18;38;27;34;25;19486;5;1064;71;25;1900;0;2800000;
284;2003-12-27;А;1;33;36;18;45;19;7;18558;5;1070;57;12;3198;0;2650000;
283;2003-12-24;Б;4;43;45;11;1;31;41;11323;5;637;85;19;1796;0;2500000;
282;2003-12-20;Б;2;22;28;25;1;7;16;17638;5;975;77;21;2792;0;1800000;
281;2003-12-17;А;2;16;15;28;30;22;32;16773;5;905;73;13;3967;0;1725000;
280;2003-12-13;А;1;39;41;11;37;13;44;15745;5;876;80;19;2870;0;1625000;
279;2003-12-10;А;3;4;22;37;29;33;12;17827;5;1145;55;35;1419;0;1520000;
278;2003-12-06;Б;2;26;40;30;32;31;17;14865;5;847;78;10;5156;0;1425000;
277;2003-12-03;Б;3;32;31;40;14;9;34;15668;5;923;60;14;3081;0;1333000;
276;2003-11-29;Б;4;18;42;45;6;20;30;13509;5;834;73;20;2377;0;1250000;
275;2003-11-26;А;3;44;29;45;8;23;14;13977;5;758;78;10;4631;0;1175000;
274;2003-11-22;Б;1;11;29;21;28;15;30;16156;5;1143;47;28;1514;0;1080000;
273;2003-11-19;Б;3;44;35;18;26;36;37;11351;5;662;84;12;3596;0;1000000;
272;2003-11-15;Б;4;7;3;2;20;10;36;13191;5;799;64;11;3626;0;900000;
271;2003-11-12;А;4;36;13;35;42;25;44;9742;5;516;100;13;3110;0;825000;
270;2003-11-08;А;3;35;13;33;18;32;27;11838;5;635;79;14;2806;0;750000;
269;2003-11-05;Б;3;35;4;20;30;23;12;14762;5;1058;56;60;773;1;1480000;
268;2003-11-01;Б;1;32;41;35;25;12;4;12456;5;745;78;18;2514;0;1400000;
267;2003-10-29;А;4;17;44;21;27;36;26;14847;5;816;67;12;3561;0;1300000;
266;2003-10-25;А;2;6;3;15;34;14;38;13477;5;718;79;19;2344;0;1225000;
265;2003-10-22;А;1;34;42;3;28;19;22;13916;5;792;69;9;4723;0;1150000;
264;2003-10-18;Б;1;36;42;6;4;16;24;12254;5;839;64;28;1491;0;1065000;
263;2003-10-15;Б;3;38;32;34;6;2;16;12859;5;811;63;17;2337;0;1000000;
262;2003-10-11;А;4;18;25;6;35;38;42;10869;5;679;77;18;2255;0;875000;
261;2003-10-08;Б;4;29;14;7;40;26;31;13236;5;864;57;17;2264;0;750000;
260;2003-10-04;А;2;4;31;30;22;26;23;12896;5;835;71;36;1281;1;1400000;
259;2003-10-01;Б;2;10;39;33;15;17;30;15562;5;876;60;18;2282;0;1300000;
258;2003-09-27;А;2;22;30;42;9;19;36;14553;5;1095;50;37;1158;0;1200000;
257;2003-09-24;Б;3;44;33;43;41;25;6;10634;5;547;107;9;5086;0;1110000;
256;2003-09-20;А;1;19;8;42;31;6;23;15057;5;995;53;40;1027;0;1020000;
255;2003-09-17;А;3;15;43;44;2;42;29;12041;5;724;74;18;2330;0;930000;
254;2003-09-13;Б;4;33;42;30;1;9;36;10976;5;666;85;13;3403;0;840000;
253;2003-09-10;А;3;7;40;37;36;25;26;10805;5;570;108;4;11944;0;750000;
252;2003-09-06;А;4;33;45;36;22;12;3;23679;5;1555;53;49;1318;2;2500000;
251;2003-09-03;А;1;15;36;30;33;19;6;17015;5;1055;74;26;2339;0;2350000;
250;2003-08-30;А;1;20;26;37;19;38;36;13762;5;699;114;13;4774;0;2222000;
249;2003-08-27;Б;2;41;39;7;37;9;20;17124;5;1178;57;26;2038;0;2100000;
248;2003-08-23;Б;4;18;9;27;42;37;44;16663;5;954;79;28;2101;0;2000000;
247;2003-08-20;Б;2;34;13;18;5;14;44;14662;5;790;82;8;6347;0;1900000;
246;2003-08-16;А;3;20;14;24;30;21;26;12750;5;669;99;9;5710;0;1800000;
